municipioNotificacao,count
Belo Horizonte,1696859
Contagem,234370
Montes Claros,231756
Uberlândia,184518
Uberaba,172195
Governador Valadares,142367
Juiz de Fora,113455
Divinópolis,105759
Betim,98575
Pouso Alegre,97727
Poços de Caldas,88693
Itajubá,85997
Sete Lagoas,81404
Ubá,77963
Nova Lima,72547
Lavras,71289
Patos de Minas,70052
Araguari,65904
Ituiutaba,61212
Santa Luzia,60350
Ipatinga,57717
Araxá,54700
Ouro Preto,52380
São Lourenço,50197
Passos,48135
Varginha,47607
Formiga,46130
Lagoa da Prata,44723
Pará de Minas,44149
Ribeirão das Neves,43109
São Sebastião do Paraíso,41524
Alfenas,40006
Pirapora,37320
Coronel Fabriciano,36622
Teófilo Otoni,36603
Paracatu,36355
Três Corações,36300
Extrema,35616
Conselheiro Lafaiete,35154
Arcos,35020
Manhuaçu,34783
São João del Rei,33660
Sabará,33141
Nova Serrana,33083
Viçosa,32169
Sacramento,31524
Barbacena,30922
Muriaé,30858
Curvelo,29514
João Monlevade,28911
Itaúna,28856
Diamantina,28813
Unaí,28656
Monte Carmelo,27873
Vespasiano,27441
Andradas,26409
Campo Belo,25983
Lagoa Santa,25212
Iturama,24613
Bom Despacho,24104
Caratinga,23255
Frutal,22337
Cataguases,22113
Patrocínio,21971
Itabira,21653
Pedro Leopoldo,21141
Três Pontas,21119
Congonhas,20330
Janaúba,20041
Brumadinho,19690
Itamarandiba,18974
Santa Vitória,18361
Machado,18210
João Pinheiro,17738
Ponte Nova,17333
Igarapé,17246
Santo Antônio do Monte,15979
Piumhi,15876
Além Paraíba,15519
Timóteo,15464
Ibirité,14950
Prata,14817
Santa Bárbara,14244
Visconde do Rio Branco,14182
Leopoldina,14008
Arinos,13853
Boa Esperança,13576
Campanha,13275
Mateus Leme,12609
Mariana,12414
Matozinhos,12240
Esmeraldas,12190
Guanhães,12190
Nanuque,11985
Carmo do Paranaíba,11973
Barroso,11707
Três Marias,11645
Buritis,11535
Mantena,11377
São José da Lapa,11167
Januária,10585
Pompéu,10555
Capelinha,10489
Camanducaia,10440
Pitangui,10363
Raposos,10135
Carandaí,10127
Carmópolis de Minas,9626
Itaú de Minas,9618
Cláudio,9416
Ibiá,9408
Carneirinho,9312
Coromandel,9195
Muzambinho,9181
São Gonçalo do Sapucaí,9126
São Gotardo,8815
Paraguaçu,8784
Ouro Branco,8782
Conceição do Mato Dentro,8693
Caxambu,8607
Guaranésia,8517
Lagoa Formosa,8235
Jaboticatubas,8167
Araçuaí,8114
Tupaciguara,7951
Inhapim,7733
Jaíba,7605
Conceição das Alagoas,7563
Nepomuceno,7503
Botelhos,7477
Campestre,7418
Carmo do Rio Claro,7260
Cristais,7252
Oliveira,7176
Aimorés,7173
Campina Verde,7167
Igaratinga,7134
Itapagipe,7053
Brasilândia de Minas,7048
Perdões,6809
Antônio Carlos,6734
Itanhandu,6727
Bom Repouso,6638
Itatiaiuçu,6619
Pirapetinga,6592
Buritizeiro,6571
Várzea da Palma,6497
Abaeté,6472
Itapecerica,6464
Papagaios,6394
Almenara,6391
Martinho Campos,6299
Nova Ponte,6270
Guaxupé,6190
Turmalina,6059
Barão de Cocais,6048
Vazante,6012
Conquista,5950
Piranga,5942
Poço Fundo,5850
Juatuba,5846
Santa Cruz de Minas,5842
Perdizes,5817
Ilicínea,5778
Elói Mendes,5772
Itabirito,5767
Resplendor,5757
Presidente Olegário,5705
Conselheiro Pena,5639
Luz,5602
Conceição do Rio Verde,5587
Bambuí,5566
Cruzília,5556
Bom Sucesso,5552
Monte Santo de Minas,5471
Córrego Fundo,5337
Porteirinha,5310
Minas Novas,5285
Santana do Paraíso,5126
Itambacuri,5034
Itaobim,5015
Tiradentes,4964
Taiobeiras,4947
Borda da Mata,4906
Monte Sião,4873
Lagoa Grande,4873
São Joaquim de Bicas,4868
Carmo do Cajuru,4836
Capinópolis,4833
Sarzedo,4829
Campos Gerais,4755
São João Nepomuceno,4744
São Francisco,4685
Jequitinhonha,4646
Itamogi,4630
Fronteira,4620
Lima Duarte,4581
Espera Feliz,4579
Planura,4533
Juruaia,4524
Nova Resende,4480
Pedralva,4446
Cachoeira de Minas,4398
Coronel Pacheco,4396
São José do Jacuri,4396
Bocaiúva,4352
São Tiago,4345
Rio Pomba,4343
Machacalis,4341
Miraí,4328
Serro,4316
Caraí,4300
Senador Firmino,4266
Areado,4252
Itaguara,4225
Alvinópolis,4222
Candeias,4203
Caeté,4190
Confins,4171
Dores do Indaiá,4144
Iguatama,4090
Felixlândia,4041
Morada Nova de Minas,4008
Rio Paranaíba,4006
São Thomé das Letras,3938
Araporã,3929
Jenipapo de Minas,3887
Moema,3864
Mirabela,3855
Pimenta,3823
São João Batista do Glória,3777
Carangola,3767
Bicas,3766
Araújos,3744
Alfredo Vasconcelos,3716
Ipanema,3676
Guapé,3673
Itamonte,3666
Belo Oriente,3660
Rio Pardo de Minas,3654
Cabeceira Grande,3653
Coração de Jesus,3640
Lambari,3625
Limeira do Oeste,3624
Estiva,3585
Cabo Verde,3561
Passa Quatro,3522
Cássia,3511
Aiuruoca,3505
Manhumirim,3473
Rio Acima,3467
Carlos Chagas,3435
Pratápolis,3394
Mercês,3370
Pains,3363
Baependi,3338
Caetanópolis,3267
Divino,3202
Ibiraci,3138
Mato Verde,3125
Brasília de Minas,3119
Guiricema,3092
Caldas,3068
Nova Era,3051
Paraisópolis,3043
Canápolis,3020
Itanhomi,3019
Coronel Xavier Chaves,2959
Guidoval,2952
São Gonçalo do Rio Abaixo,2930
Virgínia,2928
Guarda-Mor,2921
Belo Vale,2904
Monsenhor Paulo,2902
