Minas Gerais | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abadia dos Dourados,3100104,abadiense,CIRO LUIZ DA SILVA JUNIOR,880.461,6272,7.12,98.3,0.689,37.04,44202945.98,40697025.21,25174.26,
Abaet&eacute;,3100203,abaetense,IVANIR DELADIER DA COSTA,1817.067,22675,12.48,99.8,0.698,14.35,113929765.50,108110225.20,23266.1,
Abre Campo,3100302,abre-campense,MARCIO PESSOA MOREIRA VICTOR,470.551,13927,29.60,97.4,0.654,15.96,68370646.27,59685811.73,19553.86,
Acaiaca,3100401,acaiaquense,LUIZ ALBERTO PEREIRA,101.886,3909,38.37,96,0.630,-,29827818.55,27583150.37,16247.06,
A&ccedil;ucena,3100500,a&ccedil;ucenense,RAULISSON MORAIS,815.422,8943,10.97,96.7,0.610,-,43297064.77,44079763.29,17888.2,
&Aacute;gua Boa,3100609,&aacute;gua-boense,ORLANDO CARDOSO PEREIRA,1320.344,12589,9.53,92.9,0.576,6.99,61260422.88,58446633.86,14421.07,
&Aacute;gua Comprida,3100708,&aacute;gua-compridense,GUSTAVO DE ALMEIDA GON&Ccedil;ALVES,492.167,2108,4.28,95.2,0.675,-,41473621.63,32885423.19,115725.51,
Aguanil,3100807,aguanilense,RICARDO DE OLIVEIRA,232.091,4357,18.77,97.4,0.663,-,36324373.19,32465532.36,20762.54,
&Aacute;guas Formosas,3100906,&aacute;guas-formosense,CARLOS SOUZA,820.079,18448,22.50,96.6,0.645,11.67,85627230.51,75320284.72,14913.12,
&Aacute;guas Vermelhas,3101003,&aacute;guas-vermelhense,NILSON FRANCISCO CAMPOS,1256.607,14037,11.17,93.3,0.601,-,70885447.15,66493180.75,17329.28,
Aimor&eacute;s,3101102,aimorense,ADRIANO GARCIA,1348.913,25269,18.73,96.5,0.684,14.97,128036194.15,126059822.40,25402.54,
Aiuruoca,3101201,aiuruocano,ERLISSON VITOR LOPES,649.680,6233,9.59,99.3,0.668,18.87,39947536.55,38870979.65,21608.49,
Alagoa,3101300,alagoense,SEBASTI&Atilde;O MENDES PINTO NETO,161.356,2749,17.04,99,0.649,-,30584326.47,32670241.58,17958.99,
Albertina,3101409,albertinense,FELIPE TEODORO SANCHES,58.010,2952,50.89,98.4,0.673,-,35984799.93,34306410.86,51065.05,
Al&eacute;m Para&iacute;ba,3101508,al&eacute;m-paraibano,PAULO HENRIQUE MARINHO GOLDSTEIN,510.250,30717,60.20,97.6,0.726,18.58,141184543.24,135226993.00,27422.83,
Alfenas,3101607,alfenense,FABIO MARQUES FLORENCIO,850.446,78970,92.86,97.8,0.761,13.02,495065667.81,486054738.90,43049.74,
Alfredo Vasconcelos,3101631,vasconcelense,AMAR&Iacute;LIO ANT&Ocirc;NIO FERREIRA,130.815,6931,52.98,98,0.675,16.67,44369849.99,46401366.68,21364.59,
Almenara,3101706,almenarense,EDUARDO OLIVEIRA BRASILEIRO,2294.426,40364,17.59,97.8,0.642,11.67,174767140.67,173429080.60,15924.96,
Alpercata,3101805,alpercatense,RAFAEL AUGUSTO FRAN&Ccedil;A OLIVEIRA MACHADO,166.972,6903,41.34,99.1,0.646,11.9,50428693.30,43960440.84,12700.99,
Alpin&oacute;polis,3101904,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,18300,39.72,97,0.725,33.02,87968768.01,83878828.94,26133.79,
Alterosa,3102001,alterosense,MARCELO NUNES DE SOUZA,362.010,13915,38.44,97.7,0.668,19.35,70724610.45,65074998.38,20357.31,
Alto Capara&oacute;,3102050,alto caparoense,SEBASTI&Atilde;O ANANIAS CAMPOS,103.690,5795,55.89,98.5,0.661,-,36337487.68,35086844.16,16354.23,
