mes,count
1973-09,1
1975-03,1
1976-11,1
1977-12,1
1982-06,1
1984-01,1
1987-10,1
1988-07,1
1990-01,1
1993-08,1
2001-06,1
2001-10,2
2007-09,2
2010-10,2
2011-05,1
2011-10,1
2012-04,1
2012-05,1
2012-11,1
2019-03,1
2020-01,115
2020-02,74
2020-03,2723
2020-04,2579
2020-05,4712
2020-06,11656
2020-07,21282
2020-08,19673
2020-09,16176
2020-10,14496
2020-11,26710
2020-12,48539
2021-01,45660
2021-02,34232
2021-03,70146
2021-04,52769
2021-05,58637
2021-06,72428
2021-07,64042
2021-08,54250
2021-09,109226
2021-10,112374
2021-11,109616
2021-12,159633
2022-01,1423574
2022-02,808809
2022-03,331873
2022-04,138548
2022-05,256164
2022-06,636864
2022-07,458504
2022-08,179827
2022-09,94594
2022-10,37138
2022-11,208588
2022-12,447983
2023-01,135952
2023-02,81622
2023-03,106359
2023-04,69291
2023-05,79642
2023-06,56033
2023-07,43692
2023-08,33463
2023-09,44482
2023-10,65319
2023-11,76296
2023-12,41953
2024-01,34451
2024-02,82858
2024-03,76069
2024-04,36258
2024-05,25195
2024-06,21651
2024-07,21420
2024-08,16834
2024-09,28061
2024-10,26999
2024-11,29933
2024-12,24894
2025-01,9
