municipioNotificacao,count
Belo Horizonte,271801
Contagem,42339
Montes Claros,40821
Uberlândia,29964
Uberaba,27685
Juiz de Fora,20150
Divinópolis,19402
Pouso Alegre,17496
Betim,16921
Itajubá,15867
Sete Lagoas,15810
Governador Valadares,15173
Lavras,12282
Araguari,11924
Patos de Minas,11502
Santa Luzia,11246
Ubá,11087
Ituiutaba,10396
Poços de Caldas,9669
Ouro Preto,9368
Araxá,9226
Nova Lima,8835
Ipatinga,8784
Varginha,8583
São Lourenço,8512
Pará de Minas,8052
São Sebastião do Paraíso,7940
Formiga,7765
Ribeirão das Neves,7514
Lagoa da Prata,7465
Passos,7435
Pirapora,6968
Três Corações,6909
Paracatu,6380
Sabará,6341
Manhuaçu,6201
São João del Rei,6160
Conselheiro Lafaiete,6081
Extrema,5899
Viçosa,5817
Alfenas,5781
Arcos,5755
Itaúna,5591
Barbacena,5584
Muriaé,5564
Coronel Fabriciano,5516
Sacramento,5443
Vespasiano,5197
Monte Carmelo,5055
Unaí,5025
Curvelo,5005
Lagoa Santa,4948
Andradas,4830
Campo Belo,4747
Nova Serrana,4733
Diamantina,4724
Iturama,4559
Bom Despacho,4433
Frutal,4282
Patrocínio,4173
João Monlevade,4056
Pedro Leopoldo,4014
Cataguases,4008
Brumadinho,3760
Teófilo Otoni,3580
Três Pontas,3477
Itamarandiba,3474
Santa Vitória,3430
Itabira,3396
Janaúba,3257
Igarapé,3171
Ponte Nova,3158
Santo Antônio do Monte,3060
Além Paraíba,2969
João Pinheiro,2722
Santa Bárbara,2691
Prata,2638
Leopoldina,2614
Piumhi,2587
Ibirité,2586
Boa Esperança,2547
Visconde do Rio Branco,2494
Mateus Leme,2419
Carmo do Paranaíba,2361
Machado,2324
Caratinga,2305
Três Marias,2297
Esmeraldas,2294
Matozinhos,2253
Timóteo,2216
Barroso,2175
Congonhas,2088
Januária,2059
Pitangui,2049
Nanuque,2039
Pompéu,2034
Capelinha,2029
Mariana,2002
São José da Lapa,1957
Buritis,1921
Arinos,1864
Carmópolis de Minas,1846
Itaú de Minas,1838
Muzambinho,1757
Ibiá,1710
São Gonçalo do Sapucaí,1680
Caxambu,1673
Carneirinho,1667
Lagoa Formosa,1646
São Gotardo,1646
Conceição do Mato Dentro,1639
Cláudio,1618
Raposos,1611
Camanducaia,1585
Ouro Branco,1583
Paraguaçu,1583
Jaboticatubas,1520
Coromandel,1520
Campestre,1500
Tupaciguara,1440
Jaíba,1413
Araçuaí,1396
Cristais,1393
Carmo do Rio Claro,1386
Itapagipe,1383
Nepomuceno,1374
Guaranésia,1352
Oliveira,1303
Antônio Carlos,1299
Várzea da Palma,1287
Perdões,1287
Itapecerica,1260
Itatiaiuçu,1248
Brasilândia de Minas,1242
Itanhandu,1206
Papagaios,1198
Guaxupé,1183
Aimorés,1182
Conquista,1182
Abaeté,1182
Almenara,1179
Bambuí,1178
Conceição das Alagoas,1166
Buritizeiro,1164
Nova Ponte,1163
