municipio,populacao
Abadia dos Dourados,6365
Abaeté,23161
Abre Campo,14312
Acaiaca,3997
Açucena,8995
Água Boa,12545
Água Comprida,2165
Aguanil,4490
Águas Formosas,18841
Águas Vermelhas,14486
Aimorés,26165
Aiuruoca,6382
Alagoa,2816
Albertina,3023
Além Paraíba,31333
Alfenas,81950
Alfredo Vasconcelos,7184
Almenara,41894
Alpercata,7029
Alpinópolis,18672
Alterosa,14253
Alto Caparaó,5982
Alto Rio Doce,10994
Alvarenga,4012
Alvinópolis,15360
Alvorada de Minas,4322
Amparo do Serra,4595
Andradas,42282
Andrelândia,12169
Angelândia,7860
Antônio Carlos,11345
Antônio Dias,9388
Antônio Prado de Minas,1558
Araçaí,2224
Aracitaba,2095
Araçuaí,35250
Araguari,122874
Arantina,2991
Araponga,8218
Araporã,8935
Arapuá,2674
Araújos,9556
Araxá,117677
Arceburgo,9348
Arcos,43348
Areado,14212
Wenceslau Braz,2387
