Município,População
Abadia dos Dourados,6365
Abaeté,23161
Abre Campo,14312
Acaiaca,3997
Açucena,8995
Água Boa,12545
Água Comprida,2165
Aguanil,4490
Águas Formosas,18841
Águas Vermelhas,14486
Aimorés,26165
Aiuruoca,6382
Alagoa,2816
Albertina,3023
Além Paraíba,31333
Alfenas,81950
Alfredo Vasconcelos,7184
Almenara,41894
Alpercata,7029
Alpinópolis,18672
Alterosa,14253
Alto Caparaó,5982
Alto Rio Doce,10994
Alvarenga,4012
Alvinópolis,15360
Alvorada de Minas,4322
Amparo do Serra,4595
Andradas,42282
Cachoeira de Pajeú,9333
Andrelândia,12169
Angelândia,7860
Antônio Carlos,11345
Antônio Dias,9388
Antônio Prado de Minas,1558
Araçaí,2224
Aracitaba,2095
Araçuaí,35250
Araguari,122874
Arantina,2991
Araponga,8218
Araporã,8935
Arapuá,2674
Araújos,9556
Araxá,117677
Arceburgo,9348
Arcos,43348
Areado,14212
Argirita,2725
Aricanduva,4820
Arinos,17598
Astolfo Dutra,14565
Ataléia,13967
Augusto de Lima,4593
Baependi,18768
Baldim,7614
Bambuí,24144
Bandeira,4821
Bandeira do Sul,6146
Barão de Cocais,32095
Barão de Monte Alto,4991
Barbacena,129630
Barra Longa,5740
Barroso,20566
Bela Vista de Minas,10412
Belmiro Braga,3299
Belo Horizonte,2416339
Belo Oriente,24503
Belo Vale,8946
Berilo,9769
Bertópolis,4546
Berizal,4277
Betim,429236
Bias Fortes,3388
Bicas,14331
Biquinhas,2409
Boa Esperança,41332
Bocaina de Minas,5508
Bocaiúva,49668
Bom Despacho,53995
Bom Jardim de Minas,6968
Bom Jesus da Penha,4642
Bom Jesus do Amparo,5775
Bom Jesus do Galho,14756
Bom Repouso,13183
Bom Sucesso,17510
Bonfim,7672
Bonfinópolis de Minas,5615
Bonito de Minas,10491
Borda da Mata,17811
Botelhos,15137
Botumirim,5841
Brasilândia de Minas,15432
Brasília de Minas,33188
Brás Pires,4314
Braúnas,4475
Brazópolis,14506
Brumadinho,40777
Bueno Brandão,11161
Buenópolis,9229
Bugre,4149
Buritis,24693
Buritizeiro,24068
Cabeceira Grande,6797
Cabo Verde,11396
Cachoeira da Prata,3781
Cachoeira de Minas,12248
Cachoeira Dourada,2346
Caetanópolis,11832
Caeté,39850
Caiana,5463
Cajuri,4186
Caldas,14588
Camacho,2867
Camanducaia,27551
Cambuí,30870
Cambuquira,12560
Campanário,2917
Campanha,16334
Campestre,21143
Campina Verde,18250
Campo Azul,3802
Campo Belo,53943
Campo do Meio,11624
Campo Florido,8838
Campos Altos,13136
Campos Gerais,26809
Canaã,4832
Canápolis,10755
Cana Verde,5356
Candeias,14236
Cantagalo,4039
Caparaó,5144
Capela Nova,4416
Capelinha,41536
Capetinga,6652
Capim Branco,11105
Capinópolis,14899
Capitão Andrade,4650
Capitão Enéas,14401
Capitólio,10863
Caputira,9128
Caraí,19654
Caranaíba,2960
Carandaí,24368
Carangola,32165
Caratinga,90687
Carbonita,8633
Careaçu,7029
Carlos Chagas,18852
Carmésia,2682
Carmo da Cachoeira,11776
Carmo da Mata,11279
Carmo de Minas,14114
Carmo do Cajuru,24376
Carmo do Paranaíba,29899
Carmo do Rio Claro,21464
Carmópolis de Minas,18498
Carneirinho,9630
Carrancas,4153
Carvalhópolis,3417
Carvalhos,4507
Casa Grande,2260
Cascalho Rico,2757
Cássia,17495
Conceição da Barra de Minas,3596
Cataguases,67872
Catas Altas,5668
Catas Altas da Noruega,3141
Catuji,7226
Catuti,4805
Caxambu,21436
Cedro do Abaeté,1091
Central de Minas,6243
